name,city,country
Vincent Trocheck,"Pittsburgh, PA",USA
Corey Tropp,"Grosse Pointe Woods, MI",USA
Jacob Trouba,"Rochester, MI",USA
Alex Tuch,"Syracuse, NY",USA
Kyle Turris,"New Westminster, BC",CAN
T.J. Tynan,"Orland Park, IL",USA
Scottie Upshall,"Fort McMurray, AB",CAN
James van Riemsdyk,"Middletown, NJ",USA
Trevor van Riemsdyk,"Middletown, NJ",USA
Chris VandeVelde,"Moorhead, MN",USA
Phil Varone,"Vaughan, ON",CAN
Frank Vatrano,"East Longmeadow, MA",USA
Mike Vecchione,"SAUGUS, MA",USA
Antoine Vermette,"St. Agapit, QC",CAN
Kris Versteeg,"Lethbridge, AB",CAN
Jimmy Vesey,"Boston, MA",USA
Linden Vey,"Wakaw, SK",CAN
Jake Virtanen,"New Westminster, BC",CAN
Marc-Edouard Vlasic,"Montreal, QC",CAN
Chris Wagner,"Walpole, MA",USA
Joel Ward,"North York, ON",CAN
David Warsofsky,"Marshfield, MA",USA
Austin Watson,"Ann Arbor, MI",USA
